Rod_Length,Young_Modulus,Density,Damping_Coefficient,Boundary_Condition,Adhesive_Type,Total_Energy,Contact_Stress
1.061810178,,2295.930502,0.108625539,free-free,Acrylic,32288916.22,
1.92607146,107000000000.0,,0.101044557,free-free,Epoxy,21542743.24,356936640.14609164
1.597990913,61912427981.0,7110.620851,0.014871993,free-free,Acrylic,6956822.763,276254859.8715746
1.397987726,,6125.574205,0.074837087,fixed-free,Polyurethane,18572928.19,
0.734027961,137000000000.0,6645.928035,0.082237168,fixed-free,Acrylic,7562776.406,327986934.5792104
0.733991781,32531761700.0,5611.483567,0.085776328,fixed-free,Epoxy,2127688.383,102532274.55210748
0.587125418,182000000000.0,5845.935952,0.12023275,free-free,Epoxy,9148921.765,347027904.49468964
1.799264219,165000000000.0,6944.369561,0.111384484,fixed-free,Polyurethane,21311926.66,594061747.6194546
1.401672518,190000000000.0,2747.676062,0.125501968,fixed-fixed,Polyurethane,48452351.98,693571467.1918862
1.562108867,145000000000.0,4425.974746,0.15532782,fixed-fixed,Acrylic,25614272.72,196409825.98283374
0.530876741,123000000000.0,2548.466093,0.16446729,fixed-free,Acrylic,12778853.4,523611190.4732391
1.954864778,83654424828.0,7913.676056,0.146443384,fixed-fixed,Epoxy,10332351.89,375026514.9185806
1.748663961,187000000000.0,7608.415378,0.191549502,fixed-fixed,Polyurethane,21437349.64,644808250.8547623
0.818508666,173000000000.0,1275.98768,0.013464191,free-free,Polyurethane,55556013.13,717208082.1806148
0.772737451,9053281835.0,5939.026208,0.047197817,fixed-free,Polyurethane,588989.3432,15459606.48940111
0.775106765,5283131230.0,7476.738222,0.011436946,fixed-free,Acrylic,273782.4275,8327729.718178054
0.956363364,75298908742.0,2264.027416,0.133020196,free-free,Polyurethane,15903970.32,136771487.52926332
1.287134647,162000000000.0,4975.616614,0.180625804,fixed-fixed,Epoxy,20968456.87,769806027.5010192
1.147917528,197000000000.0,7408.418083,0.056261636,fixed-fixed,Epoxy,15297787.86,964441098.0362825
0.93684371,30091874052.0,1237.62185,0.186136564,fixed-free,Acrylic,11389455.98,112162830.82265493
1.417779342,119000000000.0,5881.941871,0.021450804,fixed-fixed,Silicone,14321381.72,396651300.6083555
0.709240791,76184362418.0,3081.443052,,free-free,Acrylic,8767774.475,135669722.35654894
0.938216973,194000000000.0,7470.773368,0.076808311,free-free,Silicone,12180741.72,946333181.6724328
1.049542765,168000000000.0,7797.407716,0.029269957,fixed-free,Polyurethane,11335258.03,399287839.5994958
1.184104976,168000000000.0,7609.865424,0.102315634,free-free,Acrylic,13044725.41,302137081.11444443
1.677763942,93743945027.0,,0.058787548,free-free,Epoxy,18206094.21,352723373.47716117
0.799510673,82969752273.0,7034.298557,0.064125851,fixed-free,Polyurethane,4715346.603,134599659.58017606
1.271351658,54688680315.0,6911.84579,0.068385093,free-free,Epoxy,5029601.05,253590745.40358862
1.388621853,,3233.703313,0.162574921,free-free,Polyurethane,2423126.109,
0.569675619,173000000000.0,6802.408319,0.112440643,free-free,Acrylic,7241805.837,680979726.4963338
1.411317278,163000000000.0,1259.053443,0.069148463,fixed-fixed,Silicone,91122068.82,188362563.57393134
0.755786186,200000000000.0,5173.889149,,fixed-free,Polyurethane,14603708.45,299649841.12736416
0.597577389,199000000000.0,2610.061861,0.146068628,fixed-free,Silicone,22818186.97,889160294.5662374
1.923328306,111000000000.0,1843.9682,0.06179856,fixed-free,Polyurethane,57936105.36,476785454.71736014
1.94844805,154000000000.0,1538.672411,0.088574329,fixed-fixed,Epoxy,97379805.47,551850593.5887253
1.712596022,189000000000.0,5874.021431,0.033158358,fixed-fixed,Epoxy,27545133.3,681877200.761824
0.956920654,170000000000.0,3379.124746,0.044418376,fixed-free,Polyurethane,24061033.83,587960782.7276527
